Palabra	Cantidad Review Pos	Cantidad Review Neg
portmanteau	1	1
ineffectively	0	1
loudness	0	2
guardsmen	0	2
wiseguys	0	1
ardour	2	1
breed	34	41
disfigured	11	13
emaciated	1	0
stylistics	2	2
dupuis	1	0
seizures	0	6
olds	11	42
renovated	2	3
service	114	92
forrester	4	4
reuben	1	10
needed	288	392
smight	2	2
master	298	153
critter	5	6
fuzziness	0	1
genesis	16	1
rewards	11	9
tomiche	4	0
enthrall	3	1
oingo	1	0
organically	3	1
tugs	8	1
mutilated	5	22
lyndon	3	5
positively	36	38
ahmed	3	1
zatoichi	15	18
bannister	20	1
handcuffs	1	3
shayan	6	0
idly	1	2
idle	12	13
exclaimed	2	1
sheen	27	26
bassenger	0	5
feeling	615	524
dolan	2	2
longs	18	3
sustaining	5	1
spectrum	21	12
longo	2	0
dozed	3	9
mishra	0	2
arousal	0	2
pomp	5	4
urinate	2	2
dozen	79	117
foundational	0	2
affairs	44	27
wholesome	29	15
courier	5	4
paramedics	2	4
uncouth	3	2
racers	0	1
comandante	1	0
toothed	4	4
britches	0	2
affaire	0	2
hymer	0	3
kremlin	0	1
shipments	3	1
pixilated	0	1
witney	4	1
inoue	4	0
committing	20	23
limitless	3	1
diminishing	3	8
cinematic	208	204
resonates	14	2
disjointed	20	81
tensely	1	0
mouth	118	209
reverence	11	2
conceded	0	2
resonated	8	2
dailey	3	1
bradford	17	9
treize	6	0
singer	145	128
kiya	6	2
thanatos	3	0
tech	42	39
fugitives	3	1
teck	4	0
scream	104	162
saying	323	619
norliss	0	7
dickey	9	0
teresa	4	8
padded	9	30
tehran	7	4
rediscovers	1	2
cheaply	19	38
hypercube	0	7
noriko	22	1
hounded	3	3
orleans	67	18
flowers	38	30
clicked	10	5
holiness	1	0
warmongering	1	0
rico	13	22
lube	6	2
bliss	21	15
rick	38	66
rich	338	248
rice	18	33
ranma	28	0
plate	24	22
remotest	0	3
plata	1	1
waaaaaay	0	1
plato	13	2
plath	1	4
umbilical	0	1
platt	1	3
dorrit	2	0
sciorra	1	1
altogether	52	56
massacring	1	1
droning	1	16
stoically	2	1
jaguar	3	5
rectal	0	3
nicely	208	86
boarder	3	4
pretzel	1	1
patch	14	17
eyelids	0	8
chambara	7	0
dodie	1	0
boarded	2	7
templars	0	11
cohan	2	1
clarified	2	2
sensitivity	29	12
cockamamie	0	1
erika	32	27
pinoy	1	1
clarifies	1	1
advisedly	1	1
playfulness	5	2
lots	396	403
lotr	20	13
irr	1	2
irs	26	4
droves	4	4
xvi	2	0
velva	0	3
paxinou	15	2
infra	0	1
ira	46	7
belzer	7	1
irc	0	1
ire	4	1
requisites	0	2
discipline	23	22
extend	14	11
nature	462	248
optimist	1	1
lapping	0	4
impalements	1	1
extent	88	83
accessed	0	1
tyranny	14	3
veer	4	5
voyeuristic	6	5
himalayas	3	9
heating	2	0
ravenously	0	1
fruity	0	4
levitating	0	2
lookin	5	4
himalayan	5	1
mouthy	0	3
southeastern	1	1
fearlessly	2	1
eradicate	1	3
rehash	9	40
mortified	1	3
maclaine	2	20
tmnt	2	12
blonds	0	2
gopher	0	3
wearying	1	1
gypsies	5	8
haggerty	1	5
shandling	0	1
surname	4	3
blonde	108	162
smackdown	6	1
underdone	2	2
milquetoast	3	7
marshmallows	0	1
triviality	0	1
union	81	46
fro	1	6
kojak	1	6
bothers	14	23
much	4644	5028
wyman	0	2
progenitor	0	1
fry	16	10
tallest	1	0
toning	2	0
obese	7	10
sensationalized	2	2
retrospect	16	15
spit	12	47
arkin	41	13
charleton	5	3
davy	7	4
jeon	17	0
circumcision	1	1
dave	81	35
phlox	5	3
doubts	59	22
stepdad	0	1
spin	82	67
skilfully	4	0
wildcat	5	0
noland	1	5
zalman	0	1
professionally	12	15
employ	8	24
misconstrued	1	1
prostrate	1	0
elaborate	58	60
shirow	1	0
majid	2	0
parekh	1	1
canoeing	3	0
ditching	1	0
verges	2	4
verger	9	0
conditioned	11	9
eighteen	16	6
conditioner	1	2
verged	3	0
breakfast	29	37
bricklayer	1	0
hong	142	49
inventively	2	2
portobello	10	0
mummified	3	7
honk	3	2
spews	2	8
split	71	73
visitations	2	0
codename	2	6
principals	33	25
cavanaugh	3	2
junge	6	1
zeon	7	0
boiled	36	18
effortlessly	32	9
chauvinistic	7	3
frenchmen	2	3
vivien	6	6
torpedoes	1	0
workforce	3	0
marched	3	3
boiler	5	9
supper	6	0
torpedoed	2	1
featherweight	2	1
pacey	3	0
furlough	2	1
buchfellner	0	8
kamina	3	1
mentors	2	0
academic	10	25
stillness	6	3
academia	1	1
goofing	1	2
cineastes	2	0
corporate	63	32
massaging	0	2
plaque	1	0
outlived	3	2
gigolo	9	13
absurdities	4	6
golden	177	82
linehan	2	0
agonized	1	4
vallee	5	3
snickered	0	2
boondocks	0	1
airbag	2	0
portrayed	344	254
gainsbourg	8	3
hah	0	9
hai	10	9
haj	3	0
hak	5	1
hal	76	29
ham	19	65
han	38	6
espouses	2	2
advancement	12	11
hag	3	10
hay	14	8
mcnamara	2	8
beloved	102	76
duffel	2	4
haq	4	0
har	5	13
hat	107	101
preciously	2	0
hav	0	2
haw	0	4
municipal	2	1
dtv	5	5
elders	10	5
survival	67	38
siesta	2	3
unequivocally	2	3
otherworldly	7	7
indicative	8	12
gomes	1	0
yawnfest	0	2
shadow	107	74
flotsam	0	1
wreckage	4	6
sleuthing	4	1
masonic	0	1
delectably	3	1
amfortas	2	4
alice	99	100
niels	3	0
festivities	6	3
arditi	1	0
unabashedly	2	2
attorney	54	35
flub	1	1
crowd	131	91
crowe	36	7
czech	28	11
rer	3	0
crown	34	22
begin	297	377
policewoman	5	4
captive	19	20
tamo	2	0
billboard	3	7
stealthily	1	3
bottom	130	286
pileggi	2	1
inhuman	5	13
plucked	3	9
treadmill	4	3
monogamy	1	4
completly	0	4
howell	0	7
rooker	16	14
moviedom	0	1
eduard	5	1
binder	24	2
starring	286	198
krabb	15	5
anagram	2	0
stoker	3	4
collete	2	3
spaceships	7	5
anomalous	2	0
suba	2	2
stoked	0	2
aden	1	0
lemmings	2	2
duccio	4	0
quaaludes	0	1
maxwell	6	12
marshall	41	38
honeymoon	21	14
mba	0	1
administer	1	1
beings	78	50
jaekel	0	1
hallucinogenic	2	3
shoots	58	84
despised	10	11
fabric	26	14
altitude	6	2
raped	40	86
grasping	7	5
despises	6	4
greatness	52	28
rapes	10	26
raper	0	1
grooms	4	0
spurting	1	6
hommage	2	1
poisons	2	3
musclebound	1	3
thesaurus	1	2
bonejack	0	2
hebetude	2	2
safeguard	1	0
verdi	4	1
duel	37	16
humbled	1	0
masquerading	5	24
smashes	7	15
complications	32	16
smashed	15	15
duet	19	4
dues	5	4
passenger	15	21
disgrace	15	47
moderne	1	0
barrymore	47	40
unnerve	2	0
margaux	0	10
minas	1	0
decapitation	0	16
paperwork	0	1
triangles	2	2
slurring	0	1
eventual	36	23
dowling	1	0
cambodia	20	12
asshole	3	7
pasadena	4	1
role	1956	1212
obliges	2	3
verona	2	2
rolf	3	2
tamely	0	1
wreaked	3	1
vegetative	1	0
roll	179	154
intend	20	23
palms	4	5
ointment	3	1
interjected	0	4
devos	24	2
transported	25	14
palme	3	5
conservatively	0	2
dragoncon	1	0
devon	4	17
intent	42	75
smelling	4	4
variable	6	8
transporter	4	3
aragorn	18	4
hawker	0	1
hawkes	0	1
explosions	63	46
loren	33	17
shootout	28	27
cogsworth	0	2
innuendos	3	10
overturned	1	1
gown	17	9
childs	2	1
cincinnati	2	3
chain	64	58
whoever	69	132
ost	2	2
bandits	9	7
stageplay	2	0
osa	0	6
chair	77	79
machu	1	2
ballet	63	31
baller	0	1
hutchins	0	1
freelance	3	1
crates	1	0
crater	6	22
mache	0	11
balled	0	1
macha	7	5
underlining	5	3
macho	37	34
oversight	8	2
machi	6	0
zucco	0	6
tenacious	5	3
downloading	3	11
jeri	2	1
jerk	47	86
saldana	4	1
scofield	1	2
prances	2	5
olympus	1	0
choice	276	245
pele	2	0
embark	17	10
gloomy	28	20
rationality	4	4
thundercats	0	2
stays	124	57
exact	77	112
minute	301	481
cooks	9	6
cooky	1	3
masturbates	4	3
minnie	3	0
skewed	5	9
joyride	2	3
cooke	5	2
skewer	2	1
ealing	38	6
meadow	5	1
trails	9	5
gurnemanz	3	3
ogles	2	0
heavyweight	19	4
chopping	7	18
shirts	19	23
hegemonic	0	2
adorns	1	1
bagging	1	2
headset	1	1
antwerp	9	10
celebrated	32	25
roarke	0	1
baggins	2	0
cheeseburgers	2	2
ground	162	186
celebrates	18	2
unintentionally	27	108
drafted	13	3
oldies	7	4
climbs	21	14
honour	23	8
plucking	1	2
misspent	2	0
gladys	6	10
address	38	32
menjou	0	2
reclining	1	1
dwindling	7	3
rework	0	3
benson	5	29
mafioso	5	4
chillers	3	14
revenues	3	3
accomplishes	14	1
mafiosi	2	2
dusty	13	19
impacted	6	2
cusack	76	61
accomplished	82	41
confusingly	0	6
sprouted	0	1
pollyanna	2	2
expressively	2	0
thorazine	1	1
durbin	34	2
inexpressive	1	5
houseman	2	17
cacophony	3	6
kimiko	5	1
betraying	7	4
megazone	5	2
darnell	3	2
undergone	4	6
working	462	331
expositional	1	2
perished	6	2
pooped	1	2
blackwater	1	0
gibbons	5	0
sisterly	1	1
vigour	2	3
opposed	59	62
familar	2	2
consoled	2	2
alastair	11	2
assimilation	0	2
tundra	1	0
approving	2	1
sierra	14	10
consoles	1	1
mullholland	3	2
riders	21	18
rebounding	0	1
originally	167	122
rutherford	4	4
abortion	9	41
americanised	3	0
harmonious	5	2
albright	0	6
following	300	258
stupidities	4	4
zippers	0	3
munroe	1	2
admired	35	20
mirrors	47	18
rafiki	4	6
parachute	4	5
locks	14	19
admires	11	4
admirer	26	18
livered	2	0
listens	16	4
septic	0	3
dooms	1	1
vainly	2	5
cookery	1	0
thanking	5	2
edouard	1	1
ounce	8	23
rewatched	5	2
enchants	1	1
telepath	1	1
custer	17	2
mythos	3	4
convincingly	68	25
fueled	10	2
laxative	1	1
brainless	11	44
harmon	6	18
pulley	5	1
surfing	63	39
mangy	1	2
conscious	38	40
finalize	2	0
quadrant	3	1
inhabiting	6	4
nebbish	3	0
quantrill	4	2
glynis	0	2
swollen	2	2
skirmish	2	1
mange	1	6
wolves	13	22
pulled	132	140
manga	27	13
impactful	7	1
webpage	2	0
years	2721	1739
professors	6	10
structuring	1	2
episodes	652	279
jig	3	1
overlord	2	0
disconnect	4	2
slimeball	2	0
jia	1	1
jin	1	6
jim	326	160
troubles	60	24
faves	6	2
wahlberg	1	18
nsa	0	5
spotlighting	0	2
suspension	24	49
troubled	112	33
modestly	5	4
recipients	0	2
civilian	11	12
shacked	0	2
bashful	1	2
courageously	1	1
indigenous	10	3
overpowering	8	6
drilling	5	7
reforming	2	3
workmanlike	8	3
henpecked	2	4
sorted	7	4
hickory	9	0
materialized	2	7
didn	1677	2649
didi	0	2
cleancut	1	0
dispite	2	0
fisherman	6	17
battleships	1	1
instability	4	4
quarter	24	34
quartet	12	11
materializes	2	2
retrieve	20	16
bursting	13	14
presages	2	0
receipt	1	3
kleptomaniac	3	2
remembrance	7	1
sponsor	6	6
entering	29	31
disasters	14	21
troll	1	21
bouyant	1	1
rajni	0	10
interned	1	0
yojimbo	4	0
leeves	4	0
macauley	0	3
seriously	312	670
trauma	26	21
internet	84	69
igniting	1	4
calming	2	1
complicates	4	1
disintegrated	1	1
hairdresser	4	6
ultraviolent	1	0
incentives	0	2
disintegrates	1	3
snooker	1	2
complicated	118	60
crazier	12	4
grandma	25	31
marla	4	0
workmanship	4	0
reisner	0	1
wrong	656	1134
initiate	2	4
hamer	0	2
gordon	148	95
brokeback	7	3
neglect	24	11
gutman	0	1
emotion	219	175
gunshot	12	8
openers	3	1
saving	102	174
ono	2	1
symmetry	7	0
headbanger	1	0
spoken	87	81
dostoyevsky	2	3
savini	0	29
ona	1	4
westlake	0	2
velde	0	3
tableaux	4	4
one	13510	12916
mignon	1	0
punishable	2	1
ons	2	5
tamara	4	2
affords	7	5
exaggerations	7	4
stifler	11	11
stifled	5	0
embalming	0	1
magnifique	1	0
lingering	17	22
beesley	0	3
cherbourg	0	3
colorfully	2	0
shawn	20	17
shawl	2	5
kagan	7	0
tombstones	1	2
snatch	18	17
devito	15	7
herds	7	2
specialists	0	2
buzzy	0	1
gisbourne	0	1
mayall	1	0
crossroads	7	5
rehab	3	7
sequals	0	1
lillies	3	7
wandering	24	66
rehan	1	0
disasterous	0	1
illness	43	45
stylings	5	2
deposited	3	1
sumptuous	20	2
turned	407	515
locations	147	113
jewels	15	7
sylvain	6	0
balsam	13	2
jewell	1	0
uninterrupted	6	5
turner	71	50
borough	7	0
invite	30	21
pimply	1	0
zod	1	3
zoe	16	11
cigarettes	12	14
warriors	40	41
zoo	9	21
intends	17	12
portents	3	2
evened	2	0
fashionably	0	3
gibney	4	0
pimple	0	2
imperatives	3	0
printer	5	4
opposite	157	107
buffer	2	2
squalor	13	5
spewing	5	14
buffet	2	2
smokers	3	1
printed	15	9
knowingly	6	9
creditable	5	5
buffed	1	1
thsi	1	1
captivatingly	2	0
precode	5	0
touchy	7	7
denholm	21	4
phil	33	46
jitters	3	1
phir	0	1
jittery	2	2
getty	1	1
feuds	0	2
delroy	3	1
parkinson	1	1
wynn	4	6
infuriate	1	1
imagines	14	9
friction	10	5
fecal	1	12
elam	9	1
elan	0	1
chiselled	0	2
inconsistent	15	57
heeding	3	0
aggressive	31	25
imagined	62	53
ensembles	3	0
reconciling	3	1
aimlessly	5	23
steered	2	3
planed	0	1
dudek	1	0
guarded	15	15
rejoiced	1	1
suitcases	2	0
revolutionized	3	2
tilting	0	1
intonation	4	2
macgyver	7	4
simplistic	44	57
toho	1	5
etcetera	2	10
mondo	2	7
awaiting	28	15
togan	1	4
matsumoto	9	1
pimp	10	19
bhoomika	3	1
trys	2	3
fascinates	6	2
tiki	4	0
recoiling	2	2
hotness	3	5
vision	183	117
morose	7	10
breslin	0	3
marnie	1	1
audaciously	2	0
fraiser	1	1
scalia	1	0
impressions	26	13
intoxicating	3	2
refreshes	2	0
defensively	0	2
dexter	5	25
humorists	1	3
masturbatory	0	2
wallmart	1	1
harvey	54	53
dismemberment	4	8
pearlman	1	2
yumi	1	1
sighting	4	3
refreshed	3	2
enjoys	66	45
playhouse	5	4
caan	11	13
tsui	38	0
crams	5	2
tamahori	0	1
marietta	0	1
awards	159	83
pluck	4	3
trinian	0	2
mariette	9	1
menacing	67	58
uncharacteristically	4	6
concentrated	16	19
busting	12	12
flippen	19	0
rhodes	2	10
matheson	11	9
millionaire	48	31
flipped	6	10
workplace	8	3
concentrates	26	8
flipper	1	4
grooming	0	4
doctoring	2	0
allowance	3	1
loveliest	1	2
compels	5	5
goyokin	9	2
gaiety	3	0
bader	2	0
ghulam	6	0
curr	17	1
buoyancy	0	1
practises	0	2
collides	4	3
west	258	216
hunh	0	2
breckenridge	0	1
practised	3	0
motives	54	49
wants	670	614
beckoning	1	0
vomits	0	1
tomei	46	6
paedophilic	1	1
formed	42	23
readings	7	11
photos	59	36
vue	9	0
bainter	2	0
abject	1	9
extant	2	1
kandice	5	0
former	287	221
runnin	1	2
sommers	0	1
rarities	2	1
tournier	1	0
defeatist	1	1
shelob	2	0
pretence	1	3
straighten	2	3
squeezes	0	4
ranvijay	0	4
ives	6	2
revelatory	4	5
newspaper	63	50
situation	383	281
necks	11	12
penthouse	3	8
zonked	3	1
unlikeable	7	55
engaged	66	44
consequent	2	2
dubious	25	37
limping	0	4
engages	7	16
technology	136	109
debilitating	2	2
ingrained	1	2
nuptials	2	2
eadie	5	0
reanimate	0	1
otto	37	16
reformatory	1	0
bogglingly	0	5
visually	167	92
wires	14	14
edged	23	8
assigns	4	0
hideaway	3	2
deft	17	2
defy	21	15
decaprio	1	1
holroyd	6	0
deflate	1	1
constraining	0	1
defa	2	0
edges	33	9
amuck	2	1
advertisement	12	17
tracking	45	28
droppingly	3	10
nothin	1	0
peculiarities	1	0
dimension	50	31
persistently	4	0
kawai	3	0
chabon	0	6
pecks	0	2
steamed	1	0
recycles	2	4
mariangela	0	1
bueller	6	5
recycled	21	47
steamer	3	3
overconfident	3	1
rover	2	0
generator	7	3
kirk	73	41
cloris	11	7
characterization	57	66
dicky	1	2
overthrow	10	8
dicks	3	0
zion	1	9
unerring	2	1
sportsmanship	2	0
rejoin	2	2
sums	21	54
unveil	1	1
romps	9	3
yasmine	2	1
traffic	27	40
preference	14	8
world	2398	1390
apprehending	1	1
amrish	3	5
tremulous	3	0
sensational	26	12
malfunctions	1	4
snowmobiles	0	1
unrepentant	6	2
tombes	4	0
hamiltons	1	14
shutter	2	3
superiority	9	7
glamor	12	6
demongeot	0	4
obstruct	0	1
grue	0	1
satisfactory	25	11
superintendent	5	3
pulverized	2	0
dilbert	1	1
tvs	1	7
tvm	1	10
demeaning	4	14
diving	26	16
stagecoach	15	4
divine	45	12
excelent	3	0
supervan	0	1
cavity	2	2
scottie	1	2
seaman	12	3
winstone	0	5
borel	0	11
francois	21	2
restoring	10	0
squabble	5	2
averse	3	2
disinformation	0	3
retains	20	11
donlevy	2	5
antiquities	2	4
disparaging	3	2
leadership	18	10
thailand	37	10
kapoors	0	1
luxurious	9	8
exasperating	2	3
payton	4	3
hillyer	19	0
ravished	1	0
hopkins	23	53
disabilities	4	4
dyslexic	2	0
revolutionists	1	0
pallette	3	1
frights	4	3
busfield	7	0
johnston	20	1
sensitively	14	2
clarice	2	1
shapely	4	6
choppers	1	0
antidote	20	3
lively	62	25
moriarity	1	2
pivot	0	2
conceptually	2	1
rossi	4	5
tetsuro	5	0
bubbly	11	4
mongers	1	1
gleam	1	1
glean	0	6
morehead	1	0
lounging	2	3
rumbles	2	1
mindless	45	108
harpsichord	2	1
sealed	23	8
brazilian	26	16
bubble	27	31
witt	0	1
yearned	5	0
continents	4	4
wits	25	9
dangers	28	8
societal	23	9
shonky	0	4
foreheads	1	2
whinny	1	2
sarin	1	3
abused	39	38
pull	167	173
rush	68	70
thumps	5	1
rage	60	50
tripe	6	64
assa	0	1
ruse	7	6
signposted	0	3
rags	12	5
dirty	210	123
abuser	3	2
abuses	8	2
asst	1	1
trips	17	11
tripp	2	2
patois	1	1
wendigo	43	24
hellman	19	5
gratuitous	78	159
watches	66	56
watcher	14	33
ensuing	19	12
watched	1089	1136
jargon	1	11
tremble	2	2
allay	0	1
santamarina	5	0
cream	46	31
moniker	6	4
ideally	11	7
yogi	0	5
puppo	0	2
sympathetically	7	3
introspection	8	7
unparalleled	10	0
procreate	1	0
friggin	4	10
puppy	21	33
ashoka	2	0
hazlehurst	8	0
refunded	0	3
waving	9	25
midget	3	39
mescaleros	0	2
brotherhood	11	9
gillis	0	2
fedoras	2	0
tricky	17	12
lightfoot	0	3
natalie	41	24
antiheroes	2	1
natalia	16	0
omnibus	10	0
tricks	91	46
dyed	2	8
calibur	1	0
thorp	2	0
initiating	3	0
dyer	0	25
dyes	0	2
holman	1	0
sci	339	319
sch	9	3
caused	131	106
beware	33	33
ceramic	0	1
zappa	2	4
halsey	2	0
causes	79	87
baddest	4	6
cheney	4	8
hostiles	0	1
riots	15	3
nora	24	22
nore	2	0
nord	11	0
midwest	8	4
norm	32	36
roadway	1	0
floated	4	1
baton	15	0
kristensen	0	1
donahue	1	1
floater	0	2
minogue	4	4
sant	17	15
rootless	2	1
sans	18	16
boozed	0	2
shenanigans	20	11
kirron	1	0
insufficiently	3	4
cassady	1	0
sang	40	14
sand	28	30
sane	18	24
small	980	660
senselessly	4	2
sank	6	14
kemper	0	1
abbreviated	4	2
quicker	5	11
shockers	4	1
cryptkeeper	0	2
paso	1	1
jayce	1	0
healed	6	16
past	737	514
healey	6	0
displays	65	49
pass	160	243
healer	6	5
puzo	0	6
investment	12	27
quicken	1	0
otoh	0	1
anywho	1	2
clock	42	54
decameron	1	11
skywalker	25	7
prevailed	2	6
colonists	4	0
corker	3	0
gouts	0	1
conundrums	1	1
leia	30	4
leif	2	4
mystic	13	13
dwells	8	9
hasn	209	166
full	995	782
hash	7	6
diapers	2	4
portrays	155	73
vacations	1	0
civilians	16	21
november	23	9
criminality	2	3
hass	1	2
melancholic	14	0
contrastingly	2	0
valery	0	1
shyer	1	1
experience	613	408
anthropologists	1	1
prior	97	95
periodic	3	3
cessation	2	0
skepticism	9	4
dehumanized	0	1
followed	187	186
reclaimed	0	2
traumatized	18	16
follower	7	5
mohandas	5	0
mobsters	18	9
cynics	12	0
silva	10	3
attendance	12	10
enliven	2	5
maddie	2	2
mort	3	0
mork	0	8
mori	1	0
unrecognizable	9	9
firth	2	10
mora	0	4
glowers	0	1
doot	4	0
levene	5	2
door	176	252
initiated	5	5
substances	1	10
company	269	242
corrected	7	8
chucks	1	3
yvaine	16	0
tested	17	18
lameness	0	8
nomad	2	4
doon	1	1
doom	48	41
uncool	1	6
squeal	6	3
birdie	10	1
leary	16	16
sobieski	0	1
kaminska	1	3
patriarch	19	9
kaminsky	3	0
learn	394	322
knocked	31	45
grope	0	4
scramble	2	4
definitley	2	0
natch	3	3
civilizations	4	3
memoirs	14	15
meaner	6	3
stonehenge	3	0
macross	5	3
undeterred	1	0
vampiros	5	0
sikh	2	1
bonded	6	2
huge	420	523
respective	47	26
hickey	3	3
magnani	2	0
helium	2	1
speedboat	1	1
hugo	35	10
hugh	70	41
enlarge	0	1
dismissed	15	6
smallweed	4	0
scifi	11	48
footman	1	0
dismisses	8	4
sprinkle	0	3
lanky	6	3
intended	163	217
mendes	25	3
disgraced	5	6
sympathize	34	38
mendez	12	2
kusturica	28	11
mendel	1	4
huddled	2	2
lanka	2	2
disgraces	1	2
malevolent	18	10
jiang	5	1
resemble	35	45
twisting	14	11
rosebud	0	4
sequenced	1	0
dolph	24	61
bailey	10	18
overcooked	0	4
replied	11	9
signe	8	2
rocketed	4	0
theissen	2	2
peppy	3	1
installed	9	7
jordana	2	4
resorts	7	15
paper	60	165
scott	319	258
telemovie	3	2
signs	51	55
smiling	58	25
schoolhouse	2	0
cheerfulness	4	1
roots	47	33
dornhelm	0	6
saucy	7	5
papillon	4	0
mistreated	11	5
tantalizingly	1	0
ethnocentric	1	1
sublimated	2	1
steroids	1	6
hounds	6	10
bendix	8	3
plotters	3	0
shuddering	3	4
bypass	4	6
egomaniacs	1	3
isaac	5	8
volckman	18	0
sauce	4	6
colleague	23	22
cartman	0	2
frizzi	0	1
abandons	9	6
unstated	2	0
trivialities	0	1
gadget	14	95
kaushik	0	2
hussar	3	1
frizzy	0	2
balaban	1	0
weeds	3	4
idols	4	1
weedy	0	2
quasimodo	0	6
nosebleeds	1	2
fatalism	8	2
everytime	7	5
denny	13	3
courses	6	5
piping	3	1
shocking	172	164
chipping	2	3
reactions	81	55
brunette	20	17
begged	15	9
shecky	0	5
gft	6	4
gilberto	1	0
chrissy	16	6
advertisers	1	3
operation	40	50
albeniz	5	0
caeser	0	2
edifying	2	0
inquired	0	3
lipstick	5	14
ernie	35	11
scoops	1	2
kensington	1	2
buzzsaw	2	2
research	81	140
inquires	1	0
occurs	76	55
bedlam	4	2
masted	0	2
abnormally	1	3
poignantly	8	2
deth	0	5
plowing	0	1
vanhook	0	4
definition	37	46
pairs	7	6
gurning	0	1
brettschneider	3	6
purvis	5	15
testament	55	25
existential	22	13
traumatize	2	0
euphemism	4	3
trekkie	1	0
terrifyingly	7	6
purport	2	1
brutally	47	43
preservation	9	7
araki	0	1
narcissus	3	1
firsts	1	0
benedict	5	7
arlington	10	4
swipe	3	4
moderately	20	17
heartedness	3	0
leighton	1	0
excitable	3	1
noms	1	0
bedridden	2	1
hamptons	3	2
calculations	1	0
grossness	1	7
essays	2	5
cradled	0	2
justly	11	4
tenderfoot	2	1
interviewee	0	3
interviewed	21	26
typhoon	1	2
cheekbones	1	1
chapelle	1	2
oland	1	0
interviewer	4	7
